Name,Link,From,To,Position,Height,Weight,Birth Date,College
1980,N/A,1992,F,6-9,220,"December 7, 1956",Indiana State University,N/A
1978,N/A,1989,G,6-3,190,"December 9, 1955",Houston,N/A
1949,N/A,1949,F,6-3,195,"June 4, 1922",Washington State,N/A
2020,N/A,2025,C,6-11,250,"July 20, 1999",,N/A
2024,N/A,2024,F,6-6,215,"March 31, 1999",,N/A
2012,N/A,2024,C-F,6-8,255,"August 28, 1992",,N/A
2016,N/A,2022,F,6-10,234,"May 9, 1988",,N/A
1986,N/A,1990,C,7-1,252,"March 26, 1962",Indiana,N/A
2024,N/A,2025,G,6-7,198,"January 20, 2004",Arkansas,N/A
1949,N/A,1952,F-C,6-5,200,"June 15, 1921",Kansas,N/A
2024,N/A,2024,F,6-9,205,"June 14, 1999",UNC,N/A
1981,N/A,1981,G,6-5,185,"November 12, 1957",Saint Joseph's,N/A
2015,N/A,2018,C-F,6-9,250,"November 22, 1991","Memphis, Kansas",N/A
1971,N/A,1971,C,6-10,220,"July 9, 1941",South Dakota State,N/A
1982,N/A,1994,G,6-6,190,"February 26, 1959",Kansas State,N/A
1993,N/A,1993,F,6-6,250,"June 27, 1970",Monmouth University,N/A
1985,N/A,1985,F,6-6,210,"March 27, 1963",Wisconsin,N/A
1995,N/A,1995,G,6-0,190,"February 25, 1968",Dartmouth College,N/A
1988,N/A,1988,G,6-4,170,"February 15, 1965",Temple,N/A
2010,N/A,2016,F-C,6-7,270,"April 22, 1989",Pitt,N/A
2004,N/A,2016,G,6-3,172,"February 26, 1980",Maryland,N/A
2018,N/A,2019,G,6-4,192,"October 4, 1996",LSU,N/A
2007,N/A,2007,G,6-0,205,"September 8, 1983",Iowa State,N/A
1962,N/A,1962,G,6-1,175,"November 12, 1939",Holy Cross,N/A
1991,N/A,1993,G,6-4,190,"September 9, 1966","Virginia, Texas",N/A
1993,N/A,1993,F,6-7,215,"April 21, 1966",LSU,N/A
2006,N/A,2014,F,6-11,235,"August 22, 1986",,N/A
1990,N/A,2002,G,6-0,180,"March 20, 1967","Midland College, Oklahoma",N/A
2011,N/A,2022,G,6-1,214,"December 9, 1989",Kentucky,N/A
2021,N/A,2022,F,6-4,200,"November 24, 1995","Southern Miss, Montana State",N/A
1951,N/A,1951,G,6-2,160,"June 25, 1926",Arizona,N/A
1967,N/A,1976,F-C,6-9,207,"April 16, 1944",USC,N/A
1948,N/A,1949,F-C,6-6,190,"January 14, 1915",Temple,N/A
2019,N/A,2019,F,6-8,220,"September 16, 1993",Clemson,N/A
1994,N/A,2004,F,6-9,240,"January 4, 1969",Cincinnati,N/A
2001,N/A,2009,C,7-0,230,"November 30, 1975",Pitt,N/A
2014,N/A,2018,G,6-4,200,"July 17, 1992",Marquette,N/A
1982,N/A,1982,G,6-4,185,"September 23, 1958",Oregon State,N/A
1950,N/A,1953,G,6-0,170,"February 25, 1924",Temple,N/A
2005,N/A,2005,G,6-4,190,"October 22, 1979",Cincinnati,N/A
1959,N/A,1965,G,6-4,200,"July 8, 1933",Dayton,N/A
2023,N/A,2024,G,6-6,205,"November 11, 1999",Syracuse,N/A
1969,N/A,1978,C,7-0,265,"August 23, 1945",Tennessee,N/A
2004,N/A,2014,G-F,6-5,215,"May 12, 1980",Kentucky,N/A
2018,N/A,2025,G,6-5,220,"August 18, 1992",,N/A
2015,N/A,2024,G-F,6-7,226,"April 18, 1989",,N/A
1988,N/A,2001,G,5-3,136,"January 9, 1965",Wake Forest,N/A
2006,N/A,2019,C,7-0,260,"November 28, 1984",Utah,N/A
1998,N/A,2001,F,6-9,220,"May 29, 1973","Arizona, Tennessee, Auburn University at Montgomery",N/A
2020,N/A,2025,F-C,7-3,220,"November 16, 1999",Oregon,N/A
1986,N/A,1995,C,7-7,200,"October 16, 1962",University of Bridgeport,N/A
2019,N/A,2020,F,6-8,220,"January 2, 1996",UCLA,N/A
2020,N/A,2024,C,6-10,249,"April 17, 1998",Duke,N/A
1954,N/A,1954,F,6-5,205,"August 21, 1931",Georgetown,N/A
2022,N/A,2023,F,6-6,200,"September 11, 2000",,N/A
2017,N/A,2018,F,6-9,235,"January 28, 1994",Weber State,N/A
1958,N/A,1958,G,6-4,195,"October 29, 1931",Minnesota,N/A
1962,N/A,1962,F,6-8,220,"July 1, 1935",Illinois,N/A
2025,N/A,2025,F-C,6-10,235,"March 28, 2003",UCLA,N/A
1978,N/A,1978,G,6-2,175,"July 27, 1954",Louisville,N/A
1993,N/A,1995,G,6-5,200,"February 1, 1969",Minnesota,N/A
2020,N/A,2021,G,6-2,180,"November 5, 1997",Tennessee,N/A
1997,N/A,1997,G,6-4,185,"April 27, 1970",UNLV,N/A
2019,N/A,2022,G,6-8,180,"November 8, 1999",,N/A
1965,N/A,1968,F,6-5,192,"May 31, 1942",Cincinnati,N/A
1991,N/A,1996,F,6-8,215,"June 8, 1968",Saint Louis,N/A
2005,N/A,2016,F,6-10,235,"April 5, 1980",Florida,N/A
1970,N/A,1970,C,6-10,230,"July 20, 1945",Cheyney (PA),N/A
2016,N/A,2025,G,6-6,206,"October 30, 1996",Kentucky,N/A
1996,N/A,1997,G,6-2,185,"August 20, 1972",Missouri,N/A
2011,N/A,2018,F,6-8,228,"November 25, 1987",Clemson,N/A
2007,N/A,2010,F-C,6-10,237,"November 21, 1984",UConn,N/A
1969,N/A,1981,G-F,6-2,200,"September 6, 1946","Iowa Western Community College, Clarinda Campus, Idaho State University",N/A
2000,N/A,2009,C,6-11,230,"May 7, 1976",Penn State,N/A
1998,N/A,1999,F,6-6,226,"October 9, 1974",Maryland,N/A
1961,N/A,1971,F,6-8,215,"April 26, 1937",Kansas State,N/A
2003,N/A,2015,F-C,6-9,258,"November 20, 1981",Duke,N/A
2004,N/A,2005,C,7-0,240,"September 13, 1980",Stanford,N/A
1949,N/A,1950,F-C,6-5,200,"June 29, 1927",Muhlenberg College,N/A
2000,N/A,2000,F,6-8,220,"September 20, 1972",,N/A
1951,N/A,1951,C-F,6-8,220,"July 25, 1924",Temple,N/A
1950,N/A,1954,F,6-5,210,"March 11, 1927","Notre Dame, Denver",N/A
2004,N/A,2016,F-C,6-11,235,"March 24, 1984",Georgia Tech,N/A
1978,N/A,1978,F,6-7,225,"January 28, 1953",New Mexico State,N/A
2022,N/A,2025,G-F,6-7,185,"November 28, 2001",Kentucky,N/A
1980,N/A,1980,F,6-8,225,"May 18, 1956","Vincennes University, Maryland",N/A
1976,N/A,1984,F-C,6-9,220,"October 2, 1953","South Carolina State, South Carolina",N/A
2018,N/A,2025,F,6-9,200,"January 11, 1993","New Mexico Junior College, Northwest College, Oregon",N/A
2022,N/A,2024,G,6-5,190,"September 18, 2000",UConn,N/A
2002,N/A,2004,C,7-0,257,"May 20, 1978",Georgetown,N/A
2023,N/A,2024,G,6-2,180,"June 27, 1999",San Francisco,N/A
1950,N/A,1953,F-G,6-4,210,"March 6, 1925",Western Michigan,N/A
2000,N/A,2002,F,6-10,245,"March 31, 1977",Old Dominion,N/A
2020,N/A,2021,F,6-6,190,"October 2, 1998",,N/A
1997,N/A,2009,F,6-7,185,"June 14, 1971",Cal State Fullerton,N/A
2000,N/A,2010,F,6-7,215,"November 20, 1975",Iowa,N/A
1968,N/A,1970,F-C,6-8,220,"July 7, 1940",Grambling State University,N/A
1989,N/A,1998,G-F,6-6,190,"November 9, 1963",Oklahoma,N/A
1985,N/A,1995,C-F,7-1,235,"March 17, 1961",Kentucky,N/A
1968,N/A,1968,C,6-10,215,"March 21, 1939",Tennessee,N/A
2000,N/A,2002,G,6-5,195,"June 11, 1973","Providence, Penn",N/A
2020,N/A,2020,G,6-1,187,"June 16, 1997",Boston College,N/A
1967,N/A,1972,C,6-10,230,"March 19, 1943",Wichita State,N/A
1996,N/A,1997,G,6-5,196,"September 2, 1973",Colorado,N/A
1979,N/A,1979,G,6-1,175,"May 21, 1954",Detroit Mercy,N/A
1973,N/A,1978,G,6-2,180,"June 13, 1950",Oregon State,N/A
1975,N/A,1975,F,6-5,195,"March 25, 1952",Boston University,N/A
1999,N/A,2012,G,5-5,135,"June 2, 1976",Eastern Michigan,N/A
1950,N/A,1951,C,6-10,225,"July 24, 1922",St. John's,N/A
1979,N/A,1981,G-F,6-6,185,"May 17, 1957",San Francisco,N/A
2007,N/A,2007,G,6-6,207,"March 7, 1983",UCLA,N/A
1973,N/A,1975,G,6-1,175,"August 1, 1950",Tulsa,N/A
2011,N/A,2012,F,6-10,230,"October 9, 1987",Iowa State,N/A
1965,N/A,1971,F,6-8,210,"July 26, 1942",Ohio State,N/A
1982,N/A,1982,F,6-6,215,"October 30, 1959",Villanova,N/A
1978,N/A,1980,F,6-6,190,"October 16, 1953",Texas Southern,N/A
2011,N/A,2022,G,6-3,180,"November 26, 1990",Texas,N/A
1968,N/A,1968,G,5-11,165,"June 16, 1941",Tennessee State,N/A
1968,N/A,1977,F-G,6-5,205,"July 28, 1943",Princeton,N/A
1982,N/A,1984,G,6-5,215,"May 16, 1959",Wyoming,N/A
1980,N/A,1989,G-F,6-6,195,"March 19, 1957",UNC,N/A
1974,N/A,1976,F,6-8,215,"March 16, 1952",Northern Illinois,N/A
1950,N/A,1950,G,6-3,175,"September 24, 1928",Oklahoma State,N/A
2002,N/A,2006,F-C,6-10,245,"April 18, 1979","Kentucky, Villanova",N/A
1994,N/A,2005,C,7-6,235,"March 22, 1972",BYU,N/A
2018,N/A,2023,F-C,6-10,248,"January 8, 1998",UNC,N/A
1997,N/A,1997,C-F,6-10,265,"September 27, 1968",,N/A
1996,N/A,1996,F,6-8,230,"March 24, 1970",Providence,N/A
2004,N/A,2005,F,6-8,245,"May 15, 1976",Xavier,N/A
2000,N/A,2000,C,6-10,227,"January 10, 1977",Arizona,N/A
1987,N/A,1990,F-G,6-7,185,"November 17, 1963",Maryland,N/A
2000,N/A,2016,F-C,6-9,275,"March 11, 1979",Duke,N/A
1992,N/A,2002,G,5-11,180,"May 20, 1970",Oregon,N/A
2023,N/A,2025,G,6-4,180,"May 12, 2003",Ohio State,N/A
1950,N/A,1955,F-C,6-5,215,"May 28, 1926","Kentucky, Michigan State",N/A
1982,N/A,1983,C-F,6-10,220,"September 24, 1958",SMU,N/A
1966,N/A,1968,F,6-7,195,"January 7, 1942",Elon University,N/A
2020,N/A,2023,F,6-5,250,"June 7, 1996",College of Charleston,N/A
1953,N/A,1953,G,6-1,170,"February 3, 1931",NYU,N/A
1978,N/A,1986,G,6-2,185,"October 17, 1955",Stanford,N/A
1948,N/A,1962,G-F,6-5,180,"September 25, 1927",Colgate,N/A
2023,N/A,2025,G,6-6,218,"April 17, 2001",Kansas,N/A
2020,N/A,2022,F,6-6,221,"January 8, 1999",Michigan,N/A
1995,N/A,1998,F,6-7,215,"September 19, 1970",Wyoming,N/A
2003,N/A,2004,G,6-2,185,"September 19, 1980",St. Bonaventure,N/A
1959,N/A,1959,F,6-6,205,"September 23, 1936",UNC,N/A
1955,N/A,1955,F,6-3,195,"August 6, 1930",Villanova,N/A
1984,N/A,1994,C,7-3,230,"October 11, 1960",Minnesota,N/A
2008,N/A,2020,F-G,6-9,186,"March 5, 1986",Florida,N/A
2002,N/A,2005,G,6-4,184,"November 19, 1980",Auburn,N/A
1974,N/A,1982,F-C,6-9,210,"December 3, 1951",Minnesota,N/A
1979,N/A,1986,G,6-4,180,"July 16, 1955","University of Arkansas-Fort Smith, Arkansas",N/A
2007,N/A,2014,G-F,6-7,220,"March 20, 1985",Arkansas,N/A
2002,N/A,2010,C,7-2,252,"October 2, 1979",,N/A
1950,N/A,1956,G,6-1,180,"May 1, 1923",LSU,N/A
1985,N/A,1997,F-C,6-9,240,"August 14, 1959",Penn State,N/A
1976,N/A,1987,F-G,6-5,210,"September 17, 1953",Louisville,N/A
1963,N/A,1975,F-C,6-6,228,"April 4, 1939",Kansas,N/A
2025,N/A,2025,F,6-8,225,"May 14, 2001","West Virginia, Baylor",N/A
2019,N/A,2025,F-G,6-6,209,"August 30, 1996",Villanova,N/A
2019,N/A,2025,G-F,6-7,225,"March 21, 1998",Michigan State,N/A
1947,N/A,1947,F,6-2,195,"September 22, 1923",University of Charleston,N/A
2021,N/A,2021,C,6-10,230,"February 11, 1994",UConn,N/A
1947,N/A,1947,F,6-4,175,"December 31, 1923",Dartmouth College,N/A
2019,N/A,2019,G,6-3,215,"April 13, 1996",Kentucky,N/A
1970,N/A,1975,F-G,6-5,210,"June 15, 1947",Toledo,N/A
2020,N/A,2024,F,6-7,210,"June 20, 1998",Syracuse,N/A
1974,N/A,1983,F-G,6-7,210,"August 23, 1951",Virginia Tech,N/A
1968,N/A,1968,G,6-4,190,"April 18, 1944",Johnson C. Smith University,N/A
1978,N/A,1978,G,6-2,185,"August 31, 1952",Michigan,N/A
1986,N/A,1987,C,7-0,235,"June 21, 1963",South Carolina,N/A
1981,N/A,1981,G,6-4,180,"August 29, 1958",Texas A&M,N/A
2024,N/A,2024,G,6-4,200,"July 12, 1999","St. Bonaventure, Penn State, Iowa State",N/A
2010,N/A,2012,F,6-7,255,"March 20, 1987",Washington,N/A
2019,N/A,2020,F,6-6,215,"August 23, 1990",Valparaiso,N/A
1982,N/A,1983,G,6-4,185,"February 24, 1958",West Virginia Wesleyan College,N/A
2017,N/A,2025,G,6-4,229,"December 11, 1992",Virginia,N/A
1975,N/A,1978,G,6-4,178,"January 11, 1954",Notre Dame,N/A
1949,N/A,1950,F-G,6-4,185,"May 11, 1920",West Texas A&M University,N/A
1971,N/A,1971,F,6-4,190,,Temple,N/A
2008,N/A,2018,G,6-0,161,"January 14, 1985",Oregon,N/A
2021,N/A,2024,G,6-3,195,"June 5, 1998",Houston,N/A
2018,N/A,2025,F-G,6-6,225,"January 22, 1996",Oregon,N/A
1992,N/A,1994,F,6-6,200,"October 12, 1969",Louisiana,N/A
2012,N/A,2019,G-F,6-5,200,"January 26, 1989",Providence,N/A
1981,N/A,1988,F,6-7,220,"August 17, 1958",La Salle,N/A
1989,N/A,1998,G,5-11,165,"July 31, 1965","TCU, University of California, Irvine",N/A
2007,N/A,2009,F,6-9,245,"May 12, 1981",DePaul,N/A
2016,N/A,2018,F-G,6-7,210,"October 10, 1992",Stanford,N/A
1949,N/A,1950,F,6-4,205,"November 12, 1923",Miami University,N/A
2009,N/A,2018,G,6-2,175,"September 24, 1984",Cal State Fullerton,N/A
2019,N/A,2025,G-F,6-4,202,"August 15, 1996",Miami (FL),N/A
2020,N/A,2024,G,6-6,199,"February 2, 1997",Saint Joseph's,N/A
2022,N/A,2022,G-F,6-5,215,"December 4, 1998","Wake Forest, Michigan",N/A
1990,N/A,2002,F,6-7,214,"February 29, 1968",NC State,N/A
2002,N/A,2005,F,6-9,200,"June 28, 1979",Syracuse,N/A
1949,N/A,1949,F,6-2,175,"March 14, 1923",Humboldt State University,N/A
1991,N/A,2002,G,6-1,160,"November 29, 1968",Jacksonville University,N/A
2007,N/A,2009,G,6-0,185,"August 17, 1984",Illinois,N/A
2010,N/A,2012,F,6-7,225,"September 8, 1987",Xavier,N/A
2003,N/A,2010,G,6-5,220,"December 30, 1978",Texas-San Antonio,N/A
2002,N/A,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College,N/A
1972,N/A,1984,G,6-3,182,"August 7, 1948","Southeastern Iowa Community College, West Burlington Campus, Iowa",N/A
1958,N/A,1958,F,6-6,190,"October 30, 1935",Wayne State University,N/A
1999,N/A,1999,G,6-4,210,"July 28, 1975",Pepperdine,N/A
2022,N/A,2024,F,6-7,205,"September 1, 2001",Texas,N/A
1947,N/A,1947,G,6-0,155,"October 2, 1923",University of Evansville,N/A
2015,N/A,2015,G,6-4,215,"December 18, 1992","Oregon, Missouri",N/A
2017,N/A,2025,F-G,6-6,223,"October 24, 1996",California,N/A
1974,N/A,1980,F,6-7,220,"December 14, 1951",Missouri,N/A
2002,N/A,2005,G,6-7,222,"March 18, 1981",Okaloosa-Walton Community College,N/A
2023,N/A,2024,G-F,6-8,205,"May 11, 2003",Baylor,N/A
2024,N/A,2025,G-F,6-7,250,"January 1, 2000",Missouri,N/A
2002,N/A,2013,F,6-11,270,"March 10, 1982",,N/A
1968,N/A,1972,G,5-9,160,"September 14, 1940",UNC,N/A
1947,N/A,1947,F,6-3,190,"October 12, 1919",Wyoming,N/A
1981,N/A,1981,C,6-11,225,"February 19, 1955",UNLV,N/A
2014,N/A,2019,G,6-5,189,"August 26, 1990",NC State,N/A
1997,N/A,2000,G,6-3,185,"April 3, 1974",Murray State,N/A
2015,N/A,2018,G,6-3,190,"January 29, 1992",Oklahoma State,N/A
1987,N/A,1997,C-F,6-9,257,"July 19, 1963",George Washington,N/A
2020,N/A,2025,C,7-2,245,"October 13, 1999",UCLA,N/A
1992,N/A,1992,G,6-3,180,"November 3, 1969",Slippery Rock University of Pennsylvania,N/A
1994,N/A,2008,F-C,6-11,225,"October 14, 1969",Louisiana Tech,N/A
1992,N/A,2003,G,6-2,190,"May 22, 1968","Houston, New Mexico State",N/A
1990,N/A,1990,F,6-8,220,"July 5, 1965","Mississippi State, Idaho",N/A
1981,N/A,1985,C-F,6-10,215,"August 20, 1958",Mississippi State,N/A
1968,N/A,1975,F-G,6-5,205,"May 22, 1942",Dayton,N/A
1973,N/A,1980,C,6-11,225,"February 23, 1950",Kansas,N/A
2007,N/A,2015,G,6-4,205,"November 29, 1985",Michigan State,N/A
1948,N/A,1952,F,6-3,200,"June 27, 1929",,N/A
2018,N/A,2023,G,6-5,219,"February 10, 1995",SMU,N/A
2002,N/A,2005,G,6-2,189,"June 3, 1979",McNeese State University,N/A
1985,N/A,1992,F-G,6-6,185,"July 29, 1960",Arkansas,N/A
2019,N/A,2024,G-F,6-6,215,"July 28, 1999",Oregon,N/A
1949,N/A,1950,C,6-10,235,"January 1, 1930",,N/A
1990,N/A,1990,F,6-6,210,"November 13, 1967",DePaul,N/A
1969,N/A,1969,F,6-6,208,"June 12, 1945",Marquette,N/A
1973,N/A,1973,G,6-0,160,"August 30, 1946",Manhattan University,N/A
2019,N/A,2025,G,6-2,190,"August 31, 1996",Villanova,N/A
1998,N/A,2006,G,6-4,190,"June 14, 1972",Temple,N/A
2017,N/A,2018,G-F,6-7,195,"March 2, 1993",,N/A
2021,N/A,2021,G,6-5,210,"April 19, 1995","Elon University, BYU",N/A
1965,N/A,1972,G,6-1,175,"November 4, 1938",DePaul,N/A
1976,N/A,1983,F-C,6-9,185,"October 19, 1954",La Salle,N/A
1997,N/A,2016,G-F,6-6,212,"August 23, 1978",,N/A
1989,N/A,2003,F-C,6-9,245,"April 25, 1965",Seton Hall,N/A
2018,N/A,2025,C,6-10,248,"July 31, 1997",Indiana,N/A
1984,N/A,1986,C,7-0,245,"July 14, 1959",San Francisco,N/A
1990,N/A,1990,C,6-9,250,"August 8, 1964",Texas State University,N/A
1976,N/A,1976,G,6-3,200,"July 9, 1953",Manhattan University,N/A
2022,N/A,2022,G,6-3,190,"January 30, 1997","Northeast Mississippi Community College, Murray State",N/A
1962,N/A,1963,F,6-7,210,"August 1, 1937",Tennessee State,N/A
1990,N/A,1990,G,6-6,215,"March 17, 1966",UNC,N/A
1962,N/A,1963,F-C,6-9,210,"August 17, 1938",Jackson State University,N/A
2000,N/A,2009,G,6-4,210,"September 16, 1976",Clemson,N/A
1977,N/A,1986,G,6-3,190,"August 20, 1954",Indiana,N/A
1961,N/A,1965,F,6-6,205,"October 28, 1938",Wake Forest,N/A
2010,N/A,2016,F,6-7,209,"May 22, 1988",Arizona,N/A
1949,N/A,1952,F-C,6-5,220,"July 30, 1925",Columbia University,N/A
1991,N/A,2002,F-G,6-6,220,"June 19, 1968",Arizona,N/A
2024,N/A,2025,G,6-4,195,"September 21, 2003",Michigan,N/A
2000,N/A,2005,G-F,6-5,189,"November 2, 1977",Creighton,N/A
1991,N/A,2002,F,6-10,215,"June 5, 1967","Colorado, Iowa",N/A
2014,N/A,2024,G-F,6-6,205,"March 16, 1991",UNC,N/A
1968,N/A,1969,C,7-0,240,"July 29, 1945","Texas-El Paso, Riverside Community College, Utah State University",N/A
1979,N/A,1979,F,6-6,190,"May 15, 1956",Cal State Fullerton,N/A
1953,N/A,1953,G,6-0,170,"July 13, 1930",NYU,N/A
1966,N/A,1966,C-F,6-7,250,"May 5, 1942",Michigan,N/A
1970,N/A,1972,F-C,6-8,200,"August 26, 1947",UNC,N/A
1976,N/A,1978,G,6-2,185,"February 28, 1953",Utah,N/A
2003,N/A,2007,C-F,6-11,250,"December 14, 1973",Auburn,N/A
2014,N/A,2022,G,6-0,185,"November 12, 1992",Michigan,N/A
1982,N/A,1982,G,6-5,175,"May 22, 1958",Louisville,N/A
2012,N/A,2025,G,6-6,214,"July 20, 1991",Colorado,N/A
2005,N/A,2006,G,6-1,200,"February 25, 1980",Memphis,N/A
2006,N/A,2006,G,6-3,205,"September 4, 1979",Minnesota,N/A
1975,N/A,1981,C,7-2,225,"February 24, 1952",NC State,N/A
1950,N/A,1950,G,6-3,190,"December 23, 1926",Illinois,N/A
1982,N/A,1982,G,6-2,180,"July 3, 1958",Saint Louis,N/A
1994,N/A,1994,F,6-8,260,"August 24, 1971",Maryland,N/A
1968,N/A,1968,G,6-3,195,"September 21, 1945",Northwestern,N/A
1994,N/A,2001,G-F,6-7,218,"January 12, 1971",UConn,N/A
1951,N/A,1952,F,6-5,220,"April 7, 1924",Tennessee,N/A
1996,N/A,1996,F,6-8,242,"January 18, 1973",Virginia,N/A
1957,N/A,1958,C-F,6-7,228,"June 29, 1934","Lon Morris College, Kentucky",N/A
2019,N/A,2023,G,6-4,240,"January 31, 1994","Marquette, Iowa State",N/A
1962,N/A,1965,F,6-6,225,"August 13, 1939",Michigan State,N/A
1991,N/A,1999,F-G,6-8,210,"May 26, 1968",Minnesota,N/A
1985,N/A,1993,G,6-2,185,"November 5, 1962",Iona College,N/A
1973,N/A,1985,G,6-4,190,"August 10, 1950",University of Evansville,N/A
1973,N/A,1973,F,6-8,215,"August 30, 1949","Northeastern Junior College, Denver",N/A
1962,N/A,1966,G,6-2,200,"February 8, 1936",Pikeville College,N/A
1962,N/A,1965,G,6-2,175,"July 9, 1938",Niagara University,N/A
2003,N/A,2016,F,6-7,228,"March 13, 1980",UConn,N/A
1989,N/A,1991,C,6-11,240,"March 11, 1966",Stanford,N/A
2005,N/A,2007,F-C,6-10,250,"March 10, 1985",,N/A
2022,N/A,2025,G,6-3,195,"August 25, 2000",Baylor,N/A
2012,N/A,2025,F-G,6-7,230,"September 14, 1989","Tyler Junior College, Marquette",N/A
2023,N/A,2023,C,7-0,175,"December 4, 2002",Florida State,N/A
1969,N/A,1972,G,6-2,170,"October 22, 1946",Memphis,N/A
1994,N/A,2004,G-F,6-5,210,"December 15, 1970",UCLA,N/A
2003,N/A,2016,F-G,6-7,215,"May 23, 1979",La Salle,N/A
2014,N/A,2018,G,6-3,190,"March 6, 1989",Marquette,N/A
2025,N/A,2025,F,6-10,209,"October 13, 2004",,N/A
2012,N/A,2012,F,6-7,220,"April 25, 1984","Virginia, Vanderbilt",N/A
2006,N/A,2014,C,7-0,285,"October 27, 1987",,N/A
2006,N/A,2015,G,6-0,185,"January 4, 1983","Arizona, Georgia Tech",N/A
1970,N/A,1970,F,6-7,205,,Temple,N/A
1979,N/A,1983,F,6-7,215,"April 30, 1956",Syracuse,N/A
1947,N/A,1951,F-G,6-3,175,"February 19, 1923",Seton Hall,N/A
1947,N/A,1947,F,6-1,170,"June 18, 1922",Long Island University,N/A
2004,N/A,2006,F,6-11,235,"May 21, 1981",,N/A
1959,N/A,1964,F,6-7,175,"July 29, 1935",Bradley,N/A
2015,N/A,2021,F-C,6-9,218,"September 21, 1995",,N/A
2020,N/A,2022,F,6-7,240,"October 8, 1996",UNC Wilmington,N/A
1996,N/A,2003,F,6-8,255,"June 12, 1973",Alabama,N/A
1985,N/A,2000,F-C,6-9,224,"January 28, 1962",San Diego State,N/A
2023,N/A,2025,F,6-7,191,"March 20, 1999","Marquette, Oakland",N/A
1951,N/A,1952,G,6-1,175,"February 4, 1925",St. John's,N/A
2014,N/A,2015,G,6-6,213,"February 7, 1989",Florida,N/A
2006,N/A,2019,G,6-3,200,"September 28, 1981",,N/A
1990,N/A,1998,F-C,6-8,265,"July 4, 1966","SMU, Lamar",N/A
1968,N/A,1969,C,6-10,240,"January 28, 1943",Georgia Tech,N/A
1965,N/A,1975,F-G,6-5,195,"November 1, 1941",Arizona State,N/A
2014,N/A,2025,G,6-5,204,"February 18, 1993",Georgia,N/A
1949,N/A,1955,F-G,6-3,180,"November 4, 1927",City College of San Francisco,N/A
1973,N/A,1980,F,6-7,210,"November 1, 1950",Penn,N/A
1992,N/A,1992,G,6-1,165,"November 18, 1969",Michigan,N/A
1947,N/A,1947,G,6-1,180,"June 2, 1921",Rockhurst University,N/A
1991,N/A,1991,F,6-6,180,"December 12, 1966","Indiana, Kansas",N/A
1947,N/A,1949,G,5-10,145,"January 30, 1924",Rhode Island,N/A
1970,N/A,1981,G,6-0,165,"July 27, 1947","Long Beach City College, USC",N/A
2024,N/A,2025,F,6-8,220,"May 8, 2000",Dayton,N/A
1993,N/A,1993,F,6-7,224,"January 29, 1970",Texas,N/A
1997,N/A,2013,C-F,6-11,220,"March 22, 1974",UMass,N/A
2021,N/A,2023,G,5-10,195,"March 23, 1991",,N/A
1991,N/A,2005,C,6-11,215,"July 23, 1968",Clemson,N/A
1985,N/A,1995,F-G,6-7,215,"May 7, 1962",Ohio State,N/A
2014,N/A,2019,G,6-0,201,"May 21, 1991",Murray State,N/A
2020,N/A,2025,F,6-8,236,"April 10, 1997",,N/A
2021,N/A,2022,G,6-2,183,"May 21, 1996",Princeton,N/A
1970,N/A,1974,G,6-4,195,"April 12, 1947",La Salle,N/A
2015,N/A,2025,C,6-10,240,"May 18, 1994",,N/A
2011,N/A,2011,F,6-9,275,"May 4, 1988","Louisville, Texas-El Paso",N/A
1969,N/A,1973,F,6-7,195,"December 28, 1944",South Carolina State,N/A
2001,N/A,2012,F,6-8,245,"May 2, 1977",Purdue,N/A
2021,N/A,2023,C,6-9,270,"February 25, 2001",Duke,N/A
1962,N/A,1962,G,5-9,160,"June 7, 1938",DePaul,N/A
1947,N/A,1947,F-C,6-5,195,"November 2, 1916",California,N/A
2005,N/A,2005,G,6-3,180,"August 13, 1976","Northwestern, California",N/A
1985,N/A,1990,G,6-5,210,"October 27, 1959","University of Maine, Virginia",N/A
1969,N/A,1969,G-F,6-5,210,"March 3, 1944",Otterbein College,N/A
1976,N/A,1976,C,6-11,235,"September 17, 1951",Oregon,N/A
2025,N/A,2025,C,7-0,220,"June 14, 1999",Utah,N/A
1947,N/A,1951,G-F,6-0,170,"March 22, 1919",Minnesota,N/A
1955,N/A,1955,G,6-3,170,"August 3, 1932",Bradley,N/A
2007,N/A,2011,F,6-7,205,"April 15, 1984",Memphis,N/A
1950,N/A,1951,F-C,6-5,200,"November 6, 1917",Texas A&M University-Commerce,N/A
1985,N/A,2000,F-C,6-9,225,"July 23, 1961",Wichita State,N/A
1972,N/A,1981,G,6-4,200,"March 10, 1948",Notre Dame,N/A
1996,N/A,2001,G,6-5,207,"March 12, 1974",Southern Illinois,N/A
1999,N/A,1999,G,6-3,210,"December 5, 1975",Texas Tech,N/A
1978,N/A,1987,F,6-7,220,"August 15, 1955",NC State,N/A
1976,N/A,1985,F-G,6-6,205,"January 9, 1951",Guilford College,N/A
1968,N/A,1973,G,6-3,185,"October 26, 1940",Western Kentucky,N/A
1978,N/A,1980,G-F,6-6,195,"July 3, 1953",Boston College,N/A
2025,N/A,2025,G,6-4,190,"July 21, 2005",Pitt,N/A
2010,N/A,2020,F,6-6,215,"July 27, 1986","Vanderbilt, Missouri",N/A
1981,N/A,1991,C-F,7-0,225,"July 24, 1958",Purdue,N/A
